id1	x1	C1.1	C1.2	C1.3	L1	N1	id2	x2	C2.1	C2.2	C2.3	L2	N2	id3	x3	C3.1	C3.2	C3.3	L3	N3	id4	x4	C4.1	C4.2	C4.3	L4
1	0	0	0	1	1	15	1	0.087010681	-0.749074065	0.370464136	0.549221603	0.331202033	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	0	0	1	1	15	2	0.123990082	0.426076954	0.785432239	0.448948356	0.50705578	6	1	0.073144251	0.83177761	-0.202567743	0.516829099	0.148934415	0	0	0	0	0	0	0
1	0	0	0	1	1	15	2	0.123990082	0.426076954	0.785432239	0.448948356	0.50705578	6	2	0.301156953	-0.082534171	0.992905796	-0.085593169	0.257357788	0	0	0	0	0	0	0
1	0	0	0	1	1	15	2	0.123990082	0.426076954	0.785432239	0.448948356	0.50705578	6	3	0.360209807	0.664615289	0.672568355	0.325481683	0.078602359	0	0	0	0	0	0	0
1	0	0	0	1	1	15	2	0.123990082	0.426076954	0.785432239	0.448948356	0.50705578	6	4	0.388273087	-0.378044473	0.210624896	0.901509584	0.118210333	0	0	0	0	0	0	0
1	0	0	0	1	1	15	2	0.123990082	0.426076954	0.785432239	0.448948356	0.50705578	6	5	0.782826248	0.288666829	0.913669682	-0.286145371	0.034350692	0	0	0	0	0	0	0
1	0	0	0	1	1	15	2	0.123990082	0.426076954	0.785432239	0.448948356	0.50705578	6	6	0.797384653	0.876299664	0.276682469	0.394392837	0.073544715	0	0	0	0	0	0	0
1	0	0	0	1	1	15	3	0.133765066	0.683545073	-0.41622165	0.599604596	0.530698493	7	1	0.071872368	0.986972602	-0.160077231	-0.016135772	0.223217429	0	0	0	0	0	0	0
1	0	0	0	1	1	15	3	0.133765066	0.683545073	-0.41622165	0.599604596	0.530698493	7	2	0.075973931	-0.540658863	-0.509160219	0.669659515	0.276776066	0	0	0	0	0	0	0
1	0	0	0	1	1	15	3	0.133765066	0.683545073	-0.41622165	0.599604596	0.530698493	7	3	0.368099052	-0.58092711	-0.738600813	0.34204171	0.385881797	3	1	0.511789069	-0.964355006	-0.189456702	-0.184731104	0.117976159
1	0	0	0	1	1	15	3	0.133765066	0.683545073	-0.41622165	0.599604596	0.530698493	7	3	0.368099052	-0.58092711	-0.738600813	0.34204171	0.385881797	3	2	0.540753056	-0.069043019	-0.974571678	-0.213173888	0.092437652
1	0	0	0	1	1	15	3	0.133765066	0.683545073	-0.41622165	0.599604596	0.530698493	7	3	0.368099052	-0.58092711	-0.738600813	0.34204171	0.385881797	3	3	0.715396531	-0.968866912	-0.011371067	-0.247320856	0.057831665
1	0	0	0	1	1	15	3	0.133765066	0.683545073	-0.41622165	0.599604596	0.530698493	7	4	0.368099052	0.230777896	-0.972280872	0.037569515	0.368486265	2	1	0.521804395	-0.264362091	-0.876725327	-0.401827558	0.13038139
1	0	0	0	1	1	15	3	0.133765066	0.683545073	-0.41622165	0.599604596	0.530698493	7	4	0.368099052	0.230777896	-0.972280872	0.037569515	0.368486265	2	2	0.65347115	0.459340815	-0.641985278	-0.613889989	0.061837899
1	0	0	0	1	1	15	3	0.133765066	0.683545073	-0.41622165	0.599604596	0.530698493	7	5	0.381756924	0.563816661	0.402523017	0.721169879	0.192007654	1	1	0.530232465	0.578045582	-0.706035866	-0.409116929	0.040697861
1	0	0	0	1	1	15	3	0.133765066	0.683545073	-0.41622165	0.599604596	0.530698493	7	6	0.708051077	0.990618535	-0.063774506	-0.120862442	0.083223769	0	0	0	0	0	0	0
1	0	0	0	1	1	15	3	0.133765066	0.683545073	-0.41622165	0.599604596	0.530698493	7	7	0.722665849	-0.188082901	-0.979676386	0.069706531	0.113150979	0	0	0	0	0	0	0
1	0	0	0	1	1	15	4	0.35496764	-0.382989745	0.512391228	0.768618296	0.589457934	6	1	0.054586795	-0.868257337	-0.082036043	0.489284461	0.542192633	4	1	0.522519137	-0.453224368	-0.7780882	0.434932667	0.086213404
1	0	0	0	1	1	15	4	0.35496764	-0.382989745	0.512391228	0.768618296	0.589457934	6	1	0.054586795	-0.868257337	-0.082036043	0.489284461	0.542192633	4	2	0.522519137	-0.363341995	0.88755036	0.28326128	0.112820572
1	0	0	0	1	1	15	4	0.35496764	-0.382989745	0.512391228	0.768618296	0.589457934	6	1	0.054586795	-0.868257337	-0.082036043	0.489284461	0.542192633	4	3	0.69575425	0.044622764	0.063312183	0.996995675	0.081885568
1	0	0	0	1	1	15	4	0.35496764	-0.382989745	0.512391228	0.768618296	0.589457934	6	1	0.054586795	-0.868257337	-0.082036043	0.489284461	0.542192633	4	4	0.69575425	-0.828915483	0.541781303	-0.139183843	0.085371433
1	0	0	0	1	1	15	4	0.35496764	-0.382989745	0.512391228	0.768618296	0.589457934	6	2	0.054586795	0.323221058	0.939753189	0.111319773	0.333112963	1	1	0.570035789	0.981302007	0.132826564	-0.139296354	0.040269455
1	0	0	0	1	1	15	4	0.35496764	-0.382989745	0.512391228	0.768618296	0.589457934	6	3	0.205730814	0.075909166	0.953045643	0.293158321	0.290953362	1	1	0.558025002	-0.649151584	0.760309144	-0.023070041	0.053023841
1	0	0	0	1	1	15	4	0.35496764	-0.382989745	0.512391228	0.768618296	0.589457934	6	4	0.739093846	-0.921119769	0.099759025	0.376279828	0.127182976	0	0	0	0	0	0	0
1	0	0	0	1	1	15	4	0.35496764	-0.382989745	0.512391228	0.768618296	0.589457934	6	5	0.739093846	0.404101547	0.885127841	0.230761012	0.160301154	0	0	0	0	0	0	0
