id1	x1	C1.1	C1.2	C1.3	L1	N1	id2	x2	C2.1	C2.2	C2.3	L2	N2	id3	x3	C3.1	C3.2	C3.3	L3	N3	id4	x4	C4.1	C4.2	C4.3	L4
1	0	0	0	1	1	24	1	0.071022715	0.422288352	0.37520251	0.825163999	0.633152073	10	1	0.244463133	0.284236021	0.416684383	0.863472066	0.262623293	0	0	0	0	0	0	0
1	0	0	0	1	1	24	1	0.071022715	0.422288352	0.37520251	0.825163999	0.633152073	10	2	0.244463133	0.168083114	0.879705442	0.444821765	0.355456799	3	1	0.260973198	-0.68221186	0.715557353	-0.150215357	0.10423024
1	0	0	0	1	1	24	1	0.071022715	0.422288352	0.37520251	0.825163999	0.633152073	10	2	0.244463133	0.168083114	0.879705442	0.444821765	0.355456799	3	2	0.443849739	-0.476183091	0.723160582	-0.500288354	0.102471435
1	0	0	0	1	1	24	1	0.071022715	0.422288352	0.37520251	0.825163999	0.633152073	10	2	0.244463133	0.168083114	0.879705442	0.444821765	0.355456799	3	3	0.478584005	0.777082523	0.628670079	0.030276802	0.132590754
1	0	0	0	1	1	24	1	0.071022715	0.422288352	0.37520251	0.825163999	0.633152073	10	3	0.322558198	0.58281196	-0.482038819	0.654193242	0.330197625	0	0	0	0	0	0	0
1	0	0	0	1	1	24	1	0.071022715	0.422288352	0.37520251	0.825163999	0.633152073	10	4	0.361887603	0.710969696	0.620095801	0.331667437	0.267630281	1	1	0.436669029	0.917048698	0.16748523	-0.361898304	0.114231281
1	0	0	0	1	1	24	1	0.071022715	0.422288352	0.37520251	0.825163999	0.633152073	10	5	0.374999724	0.261588831	0.75192067	0.60513353	0.260319178	0	0	0	0	0	0	0
1	0	0	0	1	1	24	1	0.071022715	0.422288352	0.37520251	0.825163999	0.633152073	10	6	0.491710499	0.541958038	-0.838340928	-0.058872523	0.241885619	0	0	0	0	0	0	0
1	0	0	0	1	1	24	1	0.071022715	0.422288352	0.37520251	0.825163999	0.633152073	10	7	0.491872202	0.452327419	-0.066762598	0.889349572	0.299759338	1	1	0.665911687	0.209895281	0.535723392	0.817890224	0.254568872
1	0	0	0	1	1	24	1	0.071022715	0.422288352	0.37520251	0.825163999	0.633152073	10	8	0.690535053	0.814583977	-0.068057428	0.576039174	0.24094424	0	0	0	0	0	0	0
1	0	0	0	1	1	24	1	0.071022715	0.422288352	0.37520251	0.825163999	0.633152073	10	9	0.690535053	0.171568039	0.982419357	-0.073597657	0.180640907	0	0	0	0	0	0	0
1	0	0	0	1	1	24	1	0.071022715	0.422288352	0.37520251	0.825163999	0.633152073	10	10	0.758661718	0.073465079	0.892537197	0.444949698	0.228601149	0	0	0	0	0	0	0
1	0	0	0	1	1	24	2	0.071022715	-0.316545482	-0.285500524	0.904592952	0.735357013	15	1	0.134649678	-0.461015434	0.201541565	0.864202388	0.788181054	11	1	0.161869697	-0.060165253	0.346301642	0.936191922	0.468910824
1	0	0	0	1	1	24	2	0.071022715	-0.316545482	-0.285500524	0.904592952	0.735357013	15	1	0.134649678	-0.461015434	0.201541565	0.864202388	0.788181054	11	2	0.161869697	0.2797639	0.723494782	0.631100198	0.259890943
1	0	0	0	1	1	24	2	0.071022715	-0.316545482	-0.285500524	0.904592952	0.735357013	15	1	0.134649678	-0.461015434	0.201541565	0.864202388	0.788181054	11	3	0.40268197	-0.10557766	0.838711238	0.534244155	0.228416591
1	0	0	0	1	1	24	2	0.071022715	-0.316545482	-0.285500524	0.904592952	0.735357013	15	1	0.134649678	-0.461015434	0.201541565	0.864202388	0.788181054	11	4	0.40268197	-0.884237709	-0.402667188	0.236606869	0.128351349
1	0	0	0	1	1	24	2	0.071022715	-0.316545482	-0.285500524	0.904592952	0.735357013	15	1	0.134649678	-0.461015434	0.201541565	0.864202388	0.788181054	11	5	0.51147104	0.242002902	0.323350778	0.914810838	0.320809671
1	0	0	0	1	1	24	2	0.071022715	-0.316545482	-0.285500524	0.904592952	0.735357013	15	1	0.134649678	-0.461015434	0.201541565	0.864202388	0.788181054	11	6	0.51147104	-0.830885113	-0.201909013	0.518519701	0.240447167
1	0	0	0	1	1	24	2	0.071022715	-0.316545482	-0.285500524	0.904592952	0.735357013	15	1	0.134649678	-0.461015434	0.201541565	0.864202388	0.788181054	11	7	0.521068141	-0.686390144	0.51318266	0.515278689	0.27007787
1	0	0	0	1	1	24	2	0.071022715	-0.316545482	-0.285500524	0.904592952	0.735357013	15	1	0.134649678	-0.461015434	0.201541565	0.864202388	0.788181054	11	8	0.53048366	-0.249193393	-0.335843945	0.908356482	0.299691564
1	0	0	0	1	1	24	2	0.071022715	-0.316545482	-0.285500524	0.904592952	0.735357013	15	1	0.134649678	-0.461015434	0.201541565	0.864202388	0.788181054	11	9	0.623739818	-0.106941632	0.588928533	0.801078442	0.272714082
1	0	0	0	1	1	24	2	0.071022715	-0.316545482	-0.285500524	0.904592952	0.735357013	15	1	0.134649678	-0.461015434	0.201541565	0.864202388	0.788181054	11	10	0.63589344	-0.406691223	-0.555867606	0.724992037	0.292794466
1	0	0	0	1	1	24	2	0.071022715	-0.316545482	-0.285500524	0.904592952	0.735357013	15	1	0.134649678	-0.461015434	0.201541565	0.864202388	0.788181054	11	11	0.717392608	-0.693928473	0.502524621	0.515686222	0.16701061
1	0	0	0	1	1	24	2	0.071022715	-0.316545482	-0.285500524	0.904592952	0.735357013	15	2	0.265829763	-0.67660864	-0.609045177	-0.413841419	0.275963203	0	0	0	0	0	0	0
1	0	0	0	1	1	24	2	0.071022715	-0.316545482	-0.285500524	0.904592952	0.735357013	15	3	0.265829763	-0.716015109	0.059000048	0.695587061	0.175978088	0	0	0	0	0	0	0
1	0	0	0	1	1	24	2	0.071022715	-0.316545482	-0.285500524	0.904592952	0.735357013	15	4	0.284094702	-0.165788695	-0.949153492	-0.267622415	0.204394393	0	0	0	0	0	0	0
1	0	0	0	1	1	24	2	0.071022715	-0.316545482	-0.285500524	0.904592952	0.735357013	15	5	0.339105354	-0.413836004	-0.844673446	-0.339509251	0.217341245	0	0	0	0	0	0	0
1	0	0	0	1	1	24	2	0.071022715	-0.316545482	-0.285500524	0.904592952	0.735357013	15	6	0.347556954	-0.064658157	-0.911417578	0.406370915	0.175608669	0	0	0	0	0	0	0
1	0	0	0	1	1	24	2	0.071022715	-0.316545482	-0.285500524	0.904592952	0.735357013	15	7	0.385862077	-0.772710335	0.173818958	0.61049628	0.492801351	4	1	0.460734681	-0.745660371	0.625205654	0.230452817	0.398970055
1	0	0	0	1	1	24	2	0.071022715	-0.316545482	-0.285500524	0.904592952	0.735357013	15	7	0.385862077	-0.772710335	0.173818958	0.61049628	0.492801351	4	2	0.460734681	-0.897577478	-0.313871138	0.309579681	0.33533279
1	0	0	0	1	1	24	2	0.071022715	-0.316545482	-0.285500524	0.904592952	0.735357013	15	7	0.385862077	-0.772710335	0.173818958	0.61049628	0.492801351	4	3	0.503540517	-0.503054999	-0.230121388	0.833054509	0.246767713
1	0	0	0	1	1	24	2	0.071022715	-0.316545482	-0.285500524	0.904592952	0.735357013	15	7	0.385862077	-0.772710335	0.173818958	0.61049628	0.492801351	4	4	0.639622285	-0.285223219	-0.074906836	0.955529529	0.131103518
1	0	0	0	1	1	24	2	0.071022715	-0.316545482	-0.285500524	0.904592952	0.735357013	15	8	0.397900907	-0.206570565	-0.977558842	0.041319631	0.276118948	0	0	0	0	0	0	0
