"id2" "x2" "c2" "L2" "N2" "id3" "x3" "c3" "L3" "N3"
1 0.001835988 0.860051 0.274865182 7 1 0.209927245 0.254183959999215 0.337532275 7
1 0.001835988 0.860051 0.274865182 7 2 0.355972292 0.32375520477982 0.099304343 0
1 0.001835988 0.860051 0.274865182 7 3 0.355972292 0.757701886987773 0.108305601 4
1 0.001835988 0.860051 0.274865182 7 4 0.435695775 0.759585786269444 0.203279962 4
1 0.001835988 0.860051 0.274865182 7 5 0.435695775 0.850112153832148 0.157152383 5
1 0.001835988 0.860051 0.274865182 7 6 0.967218923 0.770283194950924 0.089216662 1
1 0.001835988 0.860051 0.274865182 7 7 0.967218923 0.999426607546237 0.10789274 0
2 0.065429203 0.718180228 0.315389318 8 1 0.339527058 0.721362437115955 0.100867647 3
2 0.065429203 0.718180228 0.315389318 8 2 0.367324336 0.434043381882058 0.038330428 0
2 0.065429203 0.718180228 0.315389318 8 3 0.390741422 0.603257316895355 0.132905958 1
2 0.065429203 0.718180228 0.315389318 8 4 0.517196496 0.634155849970893 0.084707754 1
2 0.065429203 0.718180228 0.315389318 8 5 0.715621977 0.794865918598983 0.12656492 1
2 0.065429203 0.718180228 0.315389318 8 6 0.815414644 0.476643726078416 0.113392809 0
2 0.065429203 0.718180228 0.315389318 8 7 0.917657804 0.645491222330306 0.121547966 0
2 0.065429203 0.718180228 0.315389318 8 8 0.995354443 0.973017288393445 0.146619232 0
3 0.065429203 0.852185434 0.279420177 5 1 0.202801733 0.546459987048348 0.09867391 0
3 0.065429203 0.852185434 0.279420177 5 2 0.646196223 0.830612675832118 0.072064723 0
3 0.065429203 0.852185434 0.279420177 5 3 0.748839789 0.726472909598235 0.06925278 0
3 0.065429203 0.852185434 0.279420177 5 4 0.885119146 0.885753565662196 0.094097019 0
3 0.065429203 0.852185434 0.279420177 5 5 0.990397687 0.793635947018258 0.116716334 0
4 0.065429203 0.700150535 0.392652457 5 1 0.122540598 0.23337749903409 0.082812055 0
4 0.065429203 0.700150535 0.392652457 5 2 0.362223237 0.467662985787866 0.083682147 0
4 0.065429203 0.700150535 0.392652457 5 3 0.412409298 0.647444094554594 0.124072606 0
4 0.065429203 0.700150535 0.392652457 5 4 0.472146891 0.839515478473111 0.086664133 1
4 0.065429203 0.700150535 0.392652457 5 5 0.599484646 0.720809294470324 0.10158935 0
5 0.065429203 0.783522563 0.397515687 5 1 0.284564625 0.486788390275728 0.089506432 0
5 0.065429203 0.783522563 0.397515687 5 2 0.375359235 0.320184626468054 0.031963883 1
5 0.065429203 0.783522563 0.397515687 5 3 0.500483651 0.45709373664344 0.111537919 0
5 0.065429203 0.783522563 0.397515687 5 4 0.533250225 0.651189368672173 0.121043408 0
5 0.065429203 0.783522563 0.397515687 5 5 0.633339756 0.693568066002309 0.138100053 0
6 0.10988352 0.431408086 0.250428972 4 1 0.543673319 0.834190625503066 0.107334437 0
6 0.10988352 0.431408086 0.250428972 4 2 0.713257225 0.899445886619273 0.106728896 0
6 0.10988352 0.431408086 0.250428972 4 3 0.828947004 0.669455482609071 0.104501561 0
6 0.10988352 0.431408086 0.250428972 4 4 0.881386058 0.924037042037952 0.158251483 1
7 0.115783738 0.616227733 0.23923559 5 1 0.153577133 0.872944482293533 0.134169632 2
7 0.115783738 0.616227733 0.23923559 5 2 0.219026548 0.422041010434748 0.0510849 0
7 0.115783738 0.616227733 0.23923559 5 3 0.25281411 0.650255415743535 0.134030108 3
7 0.115783738 0.616227733 0.23923559 5 4 0.773458683 0.632054308795853 0.083339393 0
7 0.115783738 0.616227733 0.23923559 5 5 0.8038272 0.962742693395344 0.152775882 0
8 0.191048616 0.620929744 0.204529344 6 1 0.444478318 0.302192927900022 0.068828321 0
8 0.191048616 0.620929744 0.204529344 6 2 0.598167935 0.341078516960546 0.093776908 0
8 0.191048616 0.620929744 0.204529344 6 3 0.64807407 0.67184033945617 0.110964185 0
8 0.191048616 0.620929744 0.204529344 6 4 0.817988809 0.564254138865321 0.091941287 0
8 0.191048616 0.620929744 0.204529344 6 5 0.834714303 0.955722980670134 0.082811693 0
8 0.191048616 0.620929744 0.204529344 6 6 0.896288644 0.937722497553317 0.111043499 0
9 0.200694538 0.16545448 0.08353239 1 1 0.501374258 0.744057195472377 0.088356953 2
12 0.263315461 0.820614735 0.308194452 5 1 0.244915768 0.175677620892476 0.071333428 0
12 0.263315461 0.820614735 0.308194452 5 2 0.420458069 0.120423302669831 0.10275294 0
12 0.263315461 0.820614735 0.308194452 5 3 0.459192849 0.289147246718331 0.097208823 0
12 0.263315461 0.820614735 0.308194452 5 4 0.548787502 0.810501850120807 0.08392663 0
12 0.263315461 0.820614735 0.308194452 5 5 0.633708143 0.572746264674606 0.104483719 0
13 0.27457072 0.656610398 0.128217148 5 1 0.501020911 0.434247891509401 0.066324858 1
13 0.27457072 0.656610398 0.128217148 5 2 0.853722312 0.800817279521171 0.085926952 0
13 0.27457072 0.656610398 0.128217148 5 3 0.978651763 0.407554391894834 0.094897449 0
13 0.27457072 0.656610398 0.128217148 5 4 0.978651763 0.6461784921209 0.090652246 0
