"id2" "x2" "c2" "L2" "N2" "id3" "x3" "c3" "L3" "N3" "id4" "x4" "c4" "L4"
1 0.001835988 0.860051 0.274865182 7 1 0.209927245 0.254183959999215 0.337532275 7 1 0.071142283 0.091110741012241 0.079509191
1 0.001835988 0.860051 0.274865182 7 1 0.209927245 0.254183959999215 0.337532275 7 2 0.337530044 0.603094942017594 0.151503911
1 0.001835988 0.860051 0.274865182 7 1 0.209927245 0.254183959999215 0.337532275 7 3 0.385110639 -0.0626460012922767 0.075535703
1 0.001835988 0.860051 0.274865182 7 1 0.209927245 0.254183959999215 0.337532275 7 4 0.4270449 0.444518500892699 0.143711401
1 0.001835988 0.860051 0.274865182 7 1 0.209927245 0.254183959999215 0.337532275 7 5 0.630568257 0.456530992191082 0.03085586
1 0.001835988 0.860051 0.274865182 7 1 0.209927245 0.254183959999215 0.337532275 7 6 0.988637487 0.770342616921543 0.029192092
1 0.001835988 0.860051 0.274865182 7 1 0.209927245 0.254183959999215 0.337532275 7 7 0.988637487 0.89967328532542 0.019473927
1 0.001835988 0.860051 0.274865182 7 3 0.355972292 0.757701886987773 0.108305601 4 1 0.703560671 0.619712819155656 0.06863299
1 0.001835988 0.860051 0.274865182 7 3 0.355972292 0.757701886987773 0.108305601 4 2 0.842674343 0.79585294184724 0.07791001
1 0.001835988 0.860051 0.274865182 7 3 0.355972292 0.757701886987773 0.108305601 4 3 0.973322086 0.988298350358849 0.117409152
1 0.001835988 0.860051 0.274865182 7 3 0.355972292 0.757701886987773 0.108305601 4 4 0.973322086 0.897191273243047 0.081700094
1 0.001835988 0.860051 0.274865182 7 4 0.435695775 0.759585786269444 0.203279962 4 1 0.364107262 0.159540898894194 0.028665461
1 0.001835988 0.860051 0.274865182 7 4 0.435695775 0.759585786269444 0.203279962 4 2 0.71050561 0.26415897802349 0.078300478
1 0.001835988 0.860051 0.274865182 7 4 0.435695775 0.759585786269444 0.203279962 4 3 0.71050561 0.0899163479859146 0.028654615
1 0.001835988 0.860051 0.274865182 7 4 0.435695775 0.759585786269444 0.203279962 4 4 0.90491915 0.83547222642555 0.099812125
1 0.001835988 0.860051 0.274865182 7 5 0.435695775 0.850112153832148 0.157152383 5 1 0.994252721 0.53331081738828 0.095260328
1 0.001835988 0.860051 0.274865182 7 5 0.435695775 0.850112153832148 0.157152383 5 2 0.205054302 0.461027363838483 0.097991745
1 0.001835988 0.860051 0.274865182 7 5 0.435695775 0.850112153832148 0.157152383 5 3 0.480894966 0.379692208476788 0.037924389
1 0.001835988 0.860051 0.274865182 7 5 0.435695775 0.850112153832148 0.157152383 5 4 0.741194503 0.724545726450384 0.067357807
1 0.001835988 0.860051 0.274865182 7 5 0.435695775 0.850112153832148 0.157152383 5 5 0.964048541 0.728013768604057 0.091887
1 0.001835988 0.860051 0.274865182 7 6 0.967218923 0.770283194950924 0.089216662 1 1 0.964048541 0.63989761032318 0.132447821
2 0.065429203 0.718180228 0.315389318 8 1 0.339527058 0.721362437115955 0.100867647 3 1 0.487617319 0.802160745437832 0.10480546
2 0.065429203 0.718180228 0.315389318 8 1 0.339527058 0.721362437115955 0.100867647 3 2 0.979746788 0.808792162375997 0.022871384
2 0.065429203 0.718180228 0.315389318 8 1 0.339527058 0.721362437115955 0.100867647 3 3 0.979746788 0.856871758107645 0.108501309
2 0.065429203 0.718180228 0.315389318 8 3 0.390741422 0.603257316895355 0.132905958 1 1 0.039103094 0.68233197393868 0.06989333
2 0.065429203 0.718180228 0.315389318 8 4 0.517196496 0.634155849970893 0.084707754 1 1 0.967979466 0.598396577045575 0.097210862
2 0.065429203 0.718180228 0.315389318 8 5 0.715621977 0.794865918598983 0.12656492 1 1 0.19103527 0.400570513727333 0.040419379
4 0.065429203 0.700150535 0.392652457 5 4 0.472146891 0.839515478473111 0.086664133 1 1 0.37035002 0.245584665145275 0.392493952
5 0.065429203 0.783522563 0.397515687 5 2 0.375359235 0.320184626468054 0.031963883 1 1 0.938764368 0.858188634139859 0.085789241
6 0.10988352 0.431408086 0.250428972 4 4 0.881386058 0.924037042037952 0.158251483 1 1 0.064351242 0.642340654359446 0.043292532
7 0.115783738 0.616227733 0.23923559 5 1 0.153577133 0.872944482293533 0.134169632 2 1 0.907645772 0.655468525603826 0.076004404
7 0.115783738 0.616227733 0.23923559 5 1 0.153577133 0.872944482293533 0.134169632 2 2 0.994734453 0.985006540347008 0.157621791
7 0.115783738 0.616227733 0.23923559 5 3 0.25281411 0.650255415743535 0.134030108 3 1 0.396768528 0.469348176763249 0.053081159
7 0.115783738 0.616227733 0.23923559 5 3 0.25281411 0.650255415743535 0.134030108 3 2 0.918181297 0.743333945751813 0.099786193
7 0.115783738 0.616227733 0.23923559 5 3 0.25281411 0.650255415743535 0.134030108 3 3 0.918181297 0.984673228757308 0.139748151
9 0.200694538 0.16545448 0.08353239 1 1 0.501374258 0.744057195472377 0.088356953 2 1 0.822212828 0.960769694333341 0.051087614
9 0.200694538 0.16545448 0.08353239 1 1 0.501374258 0.744057195472377 0.088356953 2 2 0.899510884 0.867251076331467 0.06553248
13 0.27457072 0.656610398 0.128217148 5 1 0.501020911 0.434247891509401 0.066324858 1 1 0.070955007 -0.600203537382933 0.046858511
14 0.281619211 0.915509932 0.429248237 9 1 0.141028979 0.836764918162644 0.317116238 9 1 0.271290627 0.47365351098159 0.083670586
14 0.281619211 0.915509932 0.429248237 9 1 0.141028979 0.836764918162644 0.317116238 9 2 0.303748433 0.408534002920977 0.082268999
14 0.281619211 0.915509932 0.429248237 9 1 0.141028979 0.836764918162644 0.317116238 9 3 0.341784656 0.597657703132225 0.071137291
14 0.281619211 0.915509932 0.429248237 9 1 0.141028979 0.836764918162644 0.317116238 9 4 0.370818853 0.524766580935302 0.128233845
